domain,filename,source,common_name,rows,columns,target_column,notes
cancer,cancer_uci.csv,UCI Machine Learning Repository,Wisconsin Diagnostic Breast Cancer,569,32,target_name,Binary classification dataset; exported via scikit-learn loader with UCI provenance.
fraud,fraud_openml.csv,OpenML,Credit Card Fraud Detection,50000,30,Class,Repo-safe stratified sample from OpenML credit card fraud dataset id 1597.
itemset,itemset_uci_onlineretail.csv,UCI Machine Learning Repository,Online Retail,12000,14,,Prepared invoice-level spreadsheet for itemset mining from the UCI Online Retail dataset (DOI 10.24432/C5BW33).
episode,episode_uci_msnbc.csv,UCI Machine Learning Repository,MSNBC.com Anonymous Web Data,20000,9,,Prepared sequence spreadsheet for episode mining from the UCI MSNBC dataset (DOI 10.24432/C5390X).
classification,wine_uci.csv,sklearn.datasets.load_wine (UCI provenance),Wine Recognition,178,14,wine_class,13 numeric chemical features; 3-class cultivar target. Good combinatorial challenge.
classification,titanic_openml.csv,OpenML id 40945,Titanic Passenger Survival,1309,8,survived,Binary survival target; mixed numeric+categorical features; real missingness.
classification,banknote_auth.csv,OpenML id 1462,Banknote Authentication,1372,5,Class,Binary; 4 wavelet-transform features from banknote images. Clean/no nulls.
classification,diabetes_pima.csv,OpenML id 37,Pima Indians Diabetes,768,9,class,Binary diabetes outcome; 8 numeric features; some zero-coded missingness.
classification,credit_german.csv,OpenML id 31,German Credit,1000,21,class,Binary creditworthiness; 20 mixed features; classic imbalanced benchmark.
classification,churn_telecom.csv,OpenML id 40701,Telecom Customer Churn,5000,21,class,Binary churn; 20 mixed features; sampled to 5000 rows.
classification,steel_plates.csv,OpenML id 1510,Steel Plates Fault Detection,1941,28,Class,7-class surface-fault detection; 27 numeric features.
classification,digits_sklearn.csv,sklearn.datasets.load_digits,Handwritten Digits,1797,65,digit,10-class; 64 pixel features (8x8 images); high-dimensional SVM benchmark.
classification,har_smartphone.csv,OpenML id 1478,Human Activity Recognition,8000,562,Class,6-class activity recognition; 561 inertial sensor features; sampled to 8000 rows.
classification,sensorless_drive.csv,OpenML id 1501,Sensorless Drive Diagnosis,1593,257,Class,10-class mechanical fault detection; 256 numeric features.
classification,spambase.csv,OpenML id 44,Spambase,4601,58,class,Binary spam detection; 57 word-frequency + capital-run features. Classic SVM benchmark.
classification,adult_census.csv,OpenML id 1590,Adult Census Income,20000,15,class,Binary income prediction; 14 mixed demographic features; sampled to 20000 rows.
classification,shuttle_nasa.csv,OpenML id 40685,NASA Shuttle,20000,10,class,7-class shuttle radiator status; 9 numeric sensor features; sampled to 20000 rows.
classification,fashion_mnist.csv,OpenML id 40996,Fashion MNIST,15000,785,class,10-class clothing recognition; 784 pixel features (28x28 images); sampled to 15000 rows.
